City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,ribeira grande,38.52,-28.7,62.17,89,100,12.06,PT,1587774511
116,urumqi,43.8,87.6,73.4,8,0,24.61,CN,1587774446
117,puerto ayora,-0.74,-90.35,82.4,69,40,16.11,EC,1587774511
118,lata,40.16,-8.33,57.99,90,98,3.09,PT,1587774511
119,yanam,16.73,82.22,82.15,86,43,5.66,IN,1587774512
120,bambous virieux,-20.34,57.76,75.99,100,75,10.16,MU,1587774512
121,ilulissat,69.22,-51.1,46.4,42,0,17.22,GL,1587774512
122,isakly,54.13,51.53,33.55,85,80,9.64,RU,1587774513
123,strib,55.54,9.77,44.01,87,44,11.41,DK,1587774513
124,buraydah,26.33,43.98,73.4,46,0,5.82,SA,1587774513
125,ucluelet,48.93,-125.55,52.0,87,90,11.41,CA,1587774513
126,klaksvik,62.23,-6.59,42.8,87,90,6.93,FO,1587774513
127,daru,-9.08,143.21,83.41,73,91,12.39,PG,1587774514
128,torbay,47.67,-52.73,36.0,74,20,14.99,CA,1587774514
129,lalmohan,22.34,90.74,80.64,75,42,9.6,BD,1587774514
130,killin,33.61,-91.74,69.8,64,40,6.93,US,1587774514
131,mitchell,43.71,-98.03,64.4,36,1,16.11,US,1587774514
132,khatanga,71.97,102.5,33.03,98,99,2.86,RU,1587774515
133,meulaboh,4.14,96.13,78.75,80,98,4.34,ID,1587774515
134,chervonohryhorivka,47.62,34.54,50.0,53,44,15.37,UA,1587774515
135,malanville,11.87,3.39,91.06,40,36,12.1,BJ,1587774515
136,tateyama,34.98,139.87,57.99,66,20,4.7,JP,1587774515
137,honiara,-9.43,159.95,87.8,70,20,5.82,SB,1587774516
138,tucuman,-26.82,-65.22,77.0,73,47,2.24,AR,1587774516
139,fushe-arrez,42.06,20.02,45.5,55,0,2.26,AL,1587774516
140,portland,45.52,-122.68,62.01,77,90,8.05,US,1587774256
141,provideniya,64.38,-173.3,29.34,92,1,10.16,RU,1587774516
142,geraldton,-28.77,114.6,66.2,88,90,8.05,AU,1587774516
143,mangai,-4.05,19.53,71.55,83,45,1.77,CD,1587774517
144,pathein,16.78,94.73,78.91,83,44,5.23,MM,1587774517
145,montes altos,-5.83,-47.07,77.0,94,40,3.36,BR,1587774517
146,sitka,57.05,-135.33,46.4,75,90,12.75,US,1587774243
147,alofi,-19.06,-169.92,86.0,70,28,5.82,NU,1587774517
148,qasigiannguit,68.82,-51.19,46.4,42,0,17.22,GL,1587774517
149,qaanaaq,77.48,-69.36,19.17,87,98,1.28,GL,1587774518
150,westport,41.14,-73.36,48.99,70,90,6.93,US,1587774518
151,nouadhibou,20.93,-17.03,64.4,72,18,17.22,MR,1587774518
